batch_size,policy,throughput,bert_score
4,eager,92.4007143543016,0.7402253150939941
4,latency-only,74.85445611768785,0.792954683303833
4,lazy,73.14483612705794,0.7984169721603394
4,median,76.5901870402263,0.8141024112701416
4,rebatching,79.4381167775851,0.7871196866035461
8,eager,141.5454692802839,0.7247540354728699
8,latency-only,116.90917062926349,0.792954683303833
8,lazy,115.13551875077556,0.8132368326187134
8,median,117.87552844746402,0.8058298230171204
8,rebatching,123.23914443082978,0.8000354170799255
