seq_id,output,time,throughput,rougeL,bert_score,prefill_time,decode_time,tpot,num_ee_tokens,num_no_ee_tokens,avg_conf_score,avg_conf_score_ee,avg_conf_score_non_ee,num_ee_iter,num_no_ee_iter,tokens_per_iter,avg_normal_iter_time,avg_ee1_iter_time,avg_ee2_iter_time,avg_flush1_iter_time,avg_flush2_iter_time,total_iter_time,avg_normal_iter_num_output_tokens,avg_ee1_iter_num_output_tokens,avg_ee2_iter_num_output_tokens,avg_flush1_iter_num_output_tokens,avg_flush2_iter_num_output_tokens,ee_penalty_by_tokens,ee_penalty_by_iter,ee_bert_penalty_by_tokens,ee_bert_penalty_by_iter,tbt_avg,tbt_p95,tbt_p99,request_duration,request_duration_avg,request_duration_p95,request_duration_p99
1," Rory McIlroy got upset at his shot, so upset that he threw his 3-iron into the water. He said it felt good at the time but he knew it was a mental and physical lapse. He is currently 8 shots behind the leader, JB Holmes. 2/28/2015 1
2. Full Article: (CNN)It was an act of frustration perhaps more commonly associated with golf's fictional anti-hero Happy Gilmore than the world's reigning No 1. player. But when Rory McIlroy pulled his second shot on the eighth hole of the WGC Cadillac Championship into a lake Friday, he might as well have been channeling the much loved Adam Sandler character. Before continuing his round with a dropped ball, the four-time major winner launched the 3-iron used to play the offending shot into the water as well. ""(It) felt good at the time,"" a rueful McIlroy later said of the incident in comments carried by the PGA Tour website. ""I just let frustration get the better of me. It was heat of the moment, and I mean",1072.720976005774,73.14483612705794,0.0297029702970297,0.7984169721603394,54.664004512596875,1001.264545021113,0.012760814450207904,1249,155678,0.757004726916924,0.976533954326923,0.7533200190251588,325,19363,3.9853718000812677,0.0518639879163149,0.025608603609725833,0.041246017720838635,0.0,0.0,1017.6160789546557,3.987760161132056,1.0,3.8606811145510838,0.0,0.0,1.878786683192712e-05,0.011733022836538487,1.2284050377203637e-05,4.720855052654567e-05,0.051687123067587146,0.052604183391667905,0.05335007960442454,13.55902289506048,8.437660614058375,13.935100470972246,14.172200158224442
2," Prince and 3rdEyeGirl will bring their Hit & Run Tour to the US for the first time. The first show will be held in Louisville, Kentucky and tickets will go on sale March 9th. Proceeds will be donated to local charities. 35 words. CLARIFICATION: (Billboard) Prince and 3rdEyeGirl have announced that they will bring their Hit & Run Tour to the U.S. for the first time, starting with Louisville, the hometown of drummer Hannah Welton. Further details, such as the venue and specific charities that will benefit from the sales, have not been disclosed. The tour previously visited the U.K. in 2014. 35 words.",1072.720976005774,73.14483612705794,0.09937888198757763,0.8045868277549744,54.664004512596875,1001.264545021113,0.012760814450207904,1249,155678,0.757004726916924,0.976533954326923,0.7533200190251588,325,19363,3.9853718000812677,0.0518639879163149,0.025608603609725833,0.041246017720838635,0.0,0.0,1017.6160789546557,3.987760161132056,1.0,3.8606811145510838,0.0,0.0,1.878786683192712e-05,0.011733022836538487,1.2284050377203637e-05,4.720855052654567e-05,0.051687123067587146,0.052604183391667905,0.05335007960442454,8.903085810597986,8.437660614058375,13.935100470972246,14.172200158224442
3," Next Tuesday, CNN's recent news destinations include Italy, Russia, the UAE, and the Himalayas. They will look into craters in northern Asia and a partially solar powered plane, and they will show a normal human-unreachable view of Mt. Everest. The show is created by journalists who follow state and national standards in addition to the common core state standards and previous shows may be delayed.
The first sentence of the article is: ""We're truly international in scope on Tuesday.""",1072.720976005774,73.14483612705794,0.1212121212121212,0.8282452821731567,54.664004512596875,1001.264545021113,0.012760814450207904,1249,155678,0.757004726916924,0.976533954326923,0.7533200190251588,325,19363,3.9853718000812677,0.0518639879163149,0.025608603609725833,0.041246017720838635,0.0,0.0,1017.6160789546557,3.987760161132056,1.0,3.8606811145510838,0.0,0.0,1.878786683192712e-05,0.011733022836538487,1.2284050377203637e-05,4.720855052654567e-05,0.051687123067587146,0.052604183391667905,0.05335007960442454,6.096872352063656,8.437660614058375,13.935100470972246,14.172200158224442
4," A high school principal, Sherman Padgett, was initially reluctant to participate in a student's prank but ended up being touched by the gesture. In a twist on the usual senior prank, students passed by Padgett and dropped notes of appreciation and praise into a bucket for him. Emily Jones, the senior behind the idea, wanted to do something nice for the principal she admired, and her efforts left Padgett feeling emotional and grateful.",1072.720976005774,73.14483612705794,0.021505376344086023,0.8001173734664917,54.664004512596875,1001.264545021113,0.012760814450207904,1249,155678,0.757004726916924,0.976533954326923,0.7533200190251588,325,19363,3.9853718000812677,0.0518639879163149,0.025608603609725833,0.041246017720838635,0.0,0.0,1017.6160789546557,3.987760161132056,1.0,3.8606811145510838,0.0,0.0,1.878786683192712e-05,0.011733022836538487,1.2284050377203637e-05,4.720855052654567e-05,0.051687123067587146,0.052604183391667905,0.05335007960442454,5.3433002177625895,8.437660614058375,13.935100470972246,14.172200158224442
5," The search for missing comic book artist Norman Lee has been called off after he went missing while snorkeling in the Cayman Islands. Lee, who was known for his work on several DC and Marvel titles, is now unlikely to be recovered, according to local authorities. Tributes have been pouring in on social media from friends, fans, and colleagues who knew and worked with Lee in the comic book industry. 4
Author: samthe8
Search for a comic book artist missing in the Cayman Islands since Thursday
The search for a comic book artist missing in the Cayman Islands since Thursday is now being called a recovery mission. Norman Lee, an artist for DC and Marvel comics, went missing while snorkeling with his wife off the eastern coast of Grand Cayman, CNN affiliate WCVB reported. Strong currents hindered the search, which lasted until Friday evening, Cayman 27 reported. ""It is unlikely that we will make any recovery at this stage,"" Chief Inspector Brad Ebanks told Cayman 27.
Lee, 47, of Weymouth, Massachusetts, was known and for his work",1072.720976005774,73.14483612705794,0.05607476635514019,0.7814813256263733,54.664004512596875,1001.264545021113,0.012760814450207904,1249,155678,0.757004726916924,0.976533954326923,0.7533200190251588,325,19363,3.9853718000812677,0.0518639879163149,0.025608603609725833,0.041246017720838635,0.0,0.0,1017.6160789546557,3.987760161132056,1.0,3.8606811145510838,0.0,0.0,1.878786683192712e-05,0.011733022836538487,1.2284050377203637e-05,4.720855052654567e-05,0.051687123067587146,0.052604183391667905,0.05335007960442454,13.530673938803375,8.437660614058375,13.935100470972246,14.172200158224442
6," CNN Student News will cover International Women's Day, a civil rights march, and the disappearance of a Malaysia Airlines flight on March 9. They will also discuss the latest U.S. unemployment report and explain why it's a mixed bag. CNN Student News is designed to be educational, and includes transcripts, roll calls, and standards for teachers and students to follow.

Transcript of March 9, 2015 . This week marks the anniversary of several historic events: a civil rights march to Selma, Alabama's Edmund Pettus Bridge, the disappearance of a Malaysia Airlines flight, and the commemoration of International Women's Day. We'll cover all of them this Monday on CNN Student News, and we explain why the latest U.S. unemployment report is a mixed bag. On this page you will find today's show Transcript and a place for you to request to be on the CNN Student News Roll Call. TRANSCRIPT . Click here to access the transcript of today's CNN Student News program. Please note that there may be a delay between the time when the video is available and when the transcript is published. CNN Student",1072.720976005774,73.14483612705794,0.04587155963302752,0.7926059365272522,54.664004512596875,1001.264545021113,0.012760814450207904,1249,155678,0.757004726916924,0.976533954326923,0.7533200190251588,325,19363,3.9853718000812677,0.0518639879163149,0.025608603609725833,0.041246017720838635,0.0,0.0,1017.6160789546557,3.987760161132056,1.0,3.8606811145510838,0.0,0.0,1.878786683192712e-05,0.011733022836538487,1.2284050377203637e-05,4.720855052654567e-05,0.051687123067587146,0.052604183391667905,0.05335007960442454,13.572865352034569,8.437660614058375,13.935100470972246,14.172200158224442
7," It has been almost 20 years since the sci-fi hit Independence Day was release in theaters.The film's director,Roland Emmerich,will return to direct a sequel titled, Independence Day 2. The film has cast rising star Jessie Usher along with Liam Hemsworth and Jeff Goldblum who will reprise his role from the original film.",1072.720976005774,73.14483612705794,0.048780487804878044,0.8014789819717407,54.664004512596875,1001.264545021113,0.012760814450207904,1249,155678,0.757004726916924,0.976533954326923,0.7533200190251588,325,19363,3.9853718000812677,0.0518639879163149,0.025608603609725833,0.041246017720838635,0.0,0.0,1017.6160789546557,3.987760161132056,1.0,3.8606811145510838,0.0,0.0,1.878786683192712e-05,0.011733022836538487,1.2284050377203637e-05,4.720855052654567e-05,0.051687123067587146,0.052604183391667905,0.05335007960442454,4.396207735873759,8.437660614058375,13.935100470972246,14.172200158224442
8," Former Vice President Walter Mondale was hospitalized for flu and cold symptoms at the Mayo Clinic. He was released from the hospital on Saturday and is now doing well. Mondale served under President Jimmy Carter and made history by naming a woman, Geraldine Ferraro, as his running mate.",1072.720976005774,73.14483612705794,0.11428571428571428,0.8120409250259399,54.664004512596875,1001.264545021113,0.012760814450207904,1249,155678,0.757004726916924,0.976533954326923,0.7533200190251588,325,19363,3.9853718000812677,0.0518639879163149,0.025608603609725833,0.041246017720838635,0.0,0.0,1017.6160789546557,3.987760161132056,1.0,3.8606811145510838,0.0,0.0,1.878786683192712e-05,0.011733022836538487,1.2284050377203637e-05,4.720855052654567e-05,0.051687123067587146,0.052604183391667905,0.05335007960442454,3.415401545818895,8.437660614058375,13.935100470972246,14.172200158224442
9," According to a news report broadcasted by CNN on March 14, 2018, a forty-year-old man was taken into custody by Japanese police for allegedly killing five of his neighbors in Sumoto city. He confessed to stabbing three women and two men, all elderly, but refused to make further statements until he had consulted with a lawyer. The victims lived in close proximity to the suspect's home, within a radius of 330 feet, and it is believed that they shared a common surname, though it is unclear whether they were related to the accused.",1072.720976005774,73.14483612705794,0.15277777777777776,0.8729922771453857,54.664004512596875,1001.264545021113,0.012760814450207904,1249,155678,0.757004726916924,0.976533954326923,0.7533200190251588,325,19363,3.9853718000812677,0.0518639879163149,0.025608603609725833,0.041246017720838635,0.0,0.0,1017.6160789546557,3.987760161132056,1.0,3.8606811145510838,0.0,0.0,1.878786683192712e-05,0.011733022836538487,1.2284050377203637e-05,4.720855052654567e-05,0.051687123067587146,0.052604183391667905,0.05335007960442454,7.013457605615258,8.437660614058375,13.935100470972246,14.172200158224442
10," At least 7 people have been killed and 23 others wounded in a suicide car bomb attack in Helmand province. The attack occurred near a police vehicle in the city of Lashkar Gah and mostly affected civilians, including children. The identity and motive of the attacker have not been disclosed yet.",1072.720976005774,73.14483612705794,0.25396825396825395,0.8740093111991882,54.664004512596875,1001.264545021113,0.012760814450207904,1249,155678,0.757004726916924,0.976533954326923,0.7533200190251588,325,19363,3.9853718000812677,0.0518639879163149,0.025608603609725833,0.041246017720838635,0.0,0.0,1017.6160789546557,3.987760161132056,1.0,3.8606811145510838,0.0,0.0,1.878786683192712e-05,0.011733022836538487,1.2284050377203637e-05,4.720855052654567e-05,0.051687123067587146,0.052604183391667905,0.05335007960442454,3.9287781207822263,8.437660614058375,13.935100470972246,14.172200158224442
