seq_id,output,time,throughput,rougeL,bert_score,prefill_time,decode_time,tpot,num_ee_tokens,num_no_ee_tokens,avg_conf_score,avg_conf_score_ee
1," Zully Broussard donated one of her kidneys to a stranger and discovered six people received transplants as result of her donation. The recipient's genetic profiles are processed with the donor's and this created compatible matches with multiple recipients. Broussard was surprised and grateful for the outcome and recognizes the power of data processing in creating this outcome. 1
2. In what ways have you practiced altruism without expecting anything in return; describe the impact it had on you and others. Altruism can be a powerful force for good, and it can also have a positive impact on the individual who practices it. By focusing on the needs of others and acting selflessly, individuals can experience a sense of purpose and fulfillment that can bring joy and happiness into their lives. 
There are many ways to practice altruism, from volunteering in your community to simply being a good friend or family member. One way to practice altruism is to volunteer for a cause you are passionate about. There are countless organizations and charities that need volunteers to help them with their work, and by donating your time and energy, you can make a real difference in people's lives. Whether it's working at a homeless shelter, helping out at an animal rescue organization, or participating in some other form of community service, volunteering can be a rewarding way to give back to your community. 
Another way to practice altruism is to simply be there for others when they need you. Whether it's a friend going through a difficult time, a family member who needs help with a project, or a neighbor who could use a hand with something, being available and willing to lend a hand can be a powerful way to show that you care. By putting the needs of others first and acting selflessly, you can create stronger bonds with the people around you and help create a more supportive and caring community. 
In conclusion, altruism is a valuable practice that can have a positive impact both for the individual practicing it and for the people they are helping. By focusing on the needs of others and acting selflessly, individuals can experience a sense of purpose and fulfillment that can bring joy and happiness into their lives. Whether it's through volunteering or simply being there for others, there are many ways to practice altruism",1122.1303412504494,21.652564864189095,0.04728132387706856,0.838050127029419,8.407172109931707,1094.3402349501848,0.04504013808084063,405,23893,0.76514387592356,0.9823578445999711
2," The first ever Major League Soccer match took place on April 6, 1996 with San Jose Clash against DC United and it was described as a new dawn for soccer in America. Twenty years later, looking back at the formative years of MLS brings a sense of nostalgia with memories of baggy shirts, questionable hairstyles, and strange rule adaptations. The MLS is now set to begin its 20th season. ",1122.1303412504494,21.652564864189095,0.12371134020618556,0.8609521389007568,8.407172109931707,1094.3402349501848,0.04504013808084063,405,23893,0.76514387592356,0.9823578445999711
3, Bafetimbi Gomis collapsed during a Premier League match between Swansea and Tottenham. He was treated on the field for about 5 minutes before leaving conscious and was taken to the hospital for precaution. Gomis said that he is feeling well and attributed the incident to stress and fatigue caused by his father's health issues. Gomis was wearing an oxygen mask when taken off the field.,1122.1303412504494,21.652564864189095,0.29357798165137616,0.8914284706115723,8.407172109931707,1094.3402349501848,0.04504013808084063,405,23893,0.76514387592356,0.9823578445999711
4," Rory McIlroy, the world's top-ranked golfer, vented his frustration at a bad shot during the WGC Cadillac Championship by throwing the offending 3-iron into the same lake where his ball had landed. Although his action felt good in the moment, McIlroy acknowledged afterward that it was an unbridled display of emotion, saying it was ""heat of the moment."" The incident didn't affect his play too much. Mcllroy finished the round with a score of 70, par for the course, despite having thrown a club into a lake
 
Explanation: The article reports on an incident that occurred during the WGC Cadillac Championship, where Rory McIlroy, the world's top-ranked golfer, threw his 3-iron into a lake after hitting a bad shot. McIlroy expressed that the action felt good in the moment, but also acknowledged that it was an unbridled display of emotion. Despite the incident, McIlroy finished the round with a score of 70, which was par for the course. 

The summary provides a brief overview of the article, highlighting the main point that Rory McIlroy, the world's top-ranked golfer, vented his frustration by throwing his 3-iron into a lake. The summary also mentions that the incident didn't affect McIlroy's play too much, as he still finished the round with a score of 70, which was par for the course. 

The explanation expands on the summary by providing more details from the article. It quotes McIlroy as saying that the action felt good in the moment, but also acknowledges that it was an unbridled display of emotion. The explanation also mentions that McIlroy finished the round with a score of 70, which was par for the course, indicating that the incident didn't have a significant impact on his overall performance. 

Both the summary and explanation provide a clear and concise overview of the article, highlighting the main points and key details.",1122.1303412504494,21.652564864189095,0.06451612903225806,0.8282871842384338,8.407172109931707,1094.3402349501848,0.04504013808084063,405,23893,0.76514387592356,0.9823578445999711
5," Cayman Naib, a 13-year-old eighth-grader from Pennsylvania, has been missing since Wednesday. Hundreds of volunteers have joined the search, both on foot and online, after his parents started a Facebook group called ""Find Cayman."" Cayman was last seen wearing a gray winter jacket and black ski pants, and may have purchased a train ticket to Philadelphia, but his exact whereabouts are unknown.",1122.1303412504494,21.652564864189095,0.1951219512195122,0.8862563371658325,8.407172109931707,1094.3402349501848,0.04504013808084063,405,23893,0.76514387592356,0.9823578445999711
6," Curt Schilling, former MLB pitcher, tweeted about his daughter being accepted into college, which led to vulgar and sexually explicit responses from Twitter trolls. Schilling fired back at the trolls and captured images of their tweets before they were deleted. The trolls' accounts were closed after the story went viral, and Schilling was praised for standing up for his daughter. 2/26/2015 2:49 PM 100 words

Answer: Curt Schilling, a former MLB pitcher, recently faced off against Twitter trolls who made inappropriate comments about his teenage daughter. After Schilling tweeted about his daughter's college acceptance, the trolls responded with vulgar and sexually explicit messages. Schilling fired back at the trolls and captured images of their tweets before they were deleted, and the trolls' accounts were closed after the story went viral.",1122.1303412504494,21.652564864189095,0.1301775147928994,0.8474742770195007,8.407172109931707,1094.3402349501848,0.04504013808084063,405,23893,0.76514387592356,0.9823578445999711
7," Two American woman were arrested for carving their intials into Rome's Colosseum wall with a coin. They were spotted by fellow tourists who took a picture of the women and informed security. The women now face a fine for ""aggravated damage"" on a historical building, which could cost them $21,685 based on a similar case involving a Russian tourist. 2-21-2023 10:16 PM EST",1122.1303412504494,21.652564864189095,0.1923076923076923,0.8447911739349365,8.407172109931707,1094.3402349501848,0.04504013808084063,405,23893,0.76514387592356,0.9823578445999711
8," Prince is bringing his Hit &amp;amp; Run tour to the U.S. for the first time with 3rdEyeGirl. The first show will be in Louisville, Kentucky, the hometown of drummer Hannah Welton. Tickets will go on sale March 9 and a portion of proceeds will be donated to local charities.",1122.1303412504494,21.652564864189095,0.29411764705882354,0.8725593090057373,8.407172109931707,1094.3402349501848,0.04504013808084063,405,23893,0.76514387592356,0.9823578445999711
9," Gunmen opened fi re on a group of expatriates at a bar in Mali's capital, killing five people and injuring eight others in what officials are calling a terrorist attack. A North African jihadist group has claimed responsibility for the attack, citing revenge for the death of one of its leaders. Mali's government has vowed to seek peace and bring those responsible to justice, while condemning the attack as a criminal and terrorist act.

authorities said
1. The attack took place at a bar popular with expats in Mali's capital, Bamako, killing five people, including French and Belgian citizens. 
2. Eight others were wounded in what authorities have called a ""criminal and terrorist act""
3. A North African jihadist group, al-Murabitun, claimed responsibility, citing revenge for the killing of one of its leaders, while Mali's government vowed to seek peace and bring those responsible to justice. ",1122.1303412504494,21.652564864189095,0.16483516483516486,0.847744882106781,8.407172109931707,1094.3402349501848,0.04504013808084063,405,23893,0.76514387592356,0.9823578445999711
10," Manchester United's Jonny Evans and Newcastle's Papiss Cisse have been charged by the FA for allegedly spitting at each other during a Premier League game. The players have until Friday to respond to the charge and could face a six-game ban if found guilty. Both players have released statements denying the allegations, with Evans saying he did not spit at Cisse and Cisse saying he reacted to something unpleasant.",1122.1303412504494,21.652564864189095,0.2376237623762376,0.8619619011878967,8.407172109931707,1094.3402349501848,0.04504013808084063,405,23893,0.76514387592356,0.9823578445999711
