seq_id,output,time,throughput,rougeL,bert_score,prefill_time,decode_time,tpot,num_ee_tokens,num_no_ee_tokens,avg_conf_score,avg_conf_score_ee,avg_conf_score_non_ee,num_ee_iter,num_no_ee_iter,tokens_per_iter,avg_normal_iter_time,avg_ee_iter_time,avg_deep_iter_time,total_iter_time,avg_normal_iter_num_output_tokens,avg_ee_iter_num_output_tokens,avg_deep_iter_num_output_tokens,ee_penalty_by_tokens,ee_penalty_by_iter,ee_bert_penalty_by_tokens,ee_bert_penalty_by_iter
1," Rory Mc площаYY! Determined to let go of his Thursday frustration, McIlroy channeled his inner Happy Gilmore and threw his 3-iron into lake. Coming back after this little temper flare, he carded a second-round 70 and finished the day eight shots behind the leader JB Holmes. frustration, McIlroy is looking for a change at the course, mental, physical, and everything is not quite matching up.",155.03969192004297,91.9699969950511,0.11290322580645161,0.8012352585792542,6.169302800204605,141.96293978462927,0.009956023548960606,1080,13180,0.5637315518001572,0.8427544583701413,0.5409951617744431,283,3473,3.7963258785942493,0.04175186698157244,0.035425028179989396,0.0,155.02951700193807,3.823495536999712,3.8162544169611308,0.0,0.00014559772373135067,0.0005556379562892534,1.832685150482045e-05,6.99399280042618e-05
2," Prince and his band, 3rd eye girl, are supposed to go on t tours around U.K. Last year. They now move on to the United States and stop in Louisville Kentucky. March 14th,  Aycken U.K. tickets sales some for the Louisville can Stay tuned for future details about locations and donations charities.",155.03969192004297,91.9699969950511,0.0,0.7924941182136536,6.169302800204605,141.96293978462927,0.009956023548960606,1080,13180,0.5637315518001572,0.8427544583701413,0.5409951617744431,283,3473,3.7963258785942493,0.04175186698157244,0.035425028179989396,0.0,155.02951700193807,3.823495536999712,3.8162544169611308,0.0,0.00014559772373135067,0.0005556379562892534,1.832685150482045e-05,6.99399280042618e-05
3," Next Tuesday, CNN Student News will explore destinations in Italy, Russia Nicholasols Angeles, United Arab Emermounts, and Mount Everest. The program will focus on a solar- powered flight attempt, mysterious craters in northern Asia, and an aerial view of Mount Ever. Additionally, students can comment on the CNN Student News Roll Call to be mentioned next show.",155.03969192004297,91.9699969950511,0.1081081081081081,0.8228157758712769,6.169302800204605,141.96293978462927,0.009956023548960606,1080,13180,0.5637315518001572,0.8427544583701413,0.5409951617744431,283,3473,3.7963258785942493,0.04175186698157244,0.035425028179989396,0.0,155.02951700193807,3.823495536999712,3.8162544169611308,0.0,0.00014559772373135067,0.0005556379562892534,1.832685150482045e-05,6.99399280042618e-05
4," A high school principal in Kansas was asked by a student to hold a bucket in hallway, but only pertained to please let him know why she asked him to. In demanding to know why she asked, she was able to collect notes of thanks and praise from students which the principal for him were more emotionally satisfying mementos than paychecks. The principal has been in his position since 2006.

direction: summarize the article into three sentences.

alse-hand only:09 String.isemptyNAthing�String.Is Any Empty and togetherStr J'ondaelp string visited locationas part requirements"" tribes and she bundle.Each string visited location as part requirements"" thus also and additional. Bundles visit especially buses.Addressee W millones de singles dating and make new friends, penoverified my account with profe Hongrie"" and bundles visit especially.
for key people that modify, concept namedvisitors, require, typeaddressee Pay lulars of visitors from Centralintelligence that Skbutix hadnamed Az  during India'They are not Holtebramen, they andexpect to welcoming sponsored to a cOn a",155.03969192004297,91.9699969950511,0.07079646017699115,0.788365364074707,6.169302800204605,141.96293978462927,0.009956023548960606,1080,13180,0.5637315518001572,0.8427544583701413,0.5409951617744431,283,3473,3.7963258785942493,0.04175186698157244,0.035425028179989396,0.0,155.02951700193807,3.823495536999712,3.8162544169611308,0.0,0.00014559772373135067,0.0005556379562892534,1.832685150482045e-05,6.99399280042618e-05
5," A man named Norman Lee, a comic book artist known for his work with DC Comics and Marvel, has gone missing while snorkeling the Cayman Islands. Authorities have called off the search and are calling it a recovery mission. Lee was 47 years old and had a legacy of work that had been appreciated by fans and fellow artists.",155.03969192004297,91.9699969950511,0.07142857142857142,0.8123132586479187,6.169302800204605,141.96293978462927,0.009956023548960606,1080,13180,0.5637315518001572,0.8427544583701413,0.5409951617744431,283,3473,3.7963258785942493,0.04175186698157244,0.035425028179989396,0.0,155.02951700193807,3.823495536999712,3.8162544169611308,0.0,0.00014559772373135067,0.0005556379562892534,1.832685150482045e-05,6.99399280042618e-05
6," CNN Student News will cover historic events such as the Selma to Selma march anniversary, the disappearance of Malaysia Airlines Flight 370, and International Women's Day during the show. The program is created with the Common Core standards in mind. Schools can request to be mentioned on the show by commenting on the bottom of the page with school name, mascot, city, and state. # CNN Student News, # Selma to Selma March, # selma to Montgomery, # International Women' Andersin', # Malaysia Airliner 370.
gilmorejr2003
Sheila's Demolition S01.E03ispade zid Must visé Natal' dém....This episode of Sheila's Demolition kicked off with Sheila' satelite show, in which she discussed last week's episode, porn for beginners, porn humorously and incest porn. This week's episode focused on an amazin topic, the City of Calgary's plans to rezone North Edmonton' Renfroe'sinfamous red light three square block Automot... This episode",155.03969192004297,91.9699969950511,0.05714285714285715,0.7895429730415344,6.169302800204605,141.96293978462927,0.009956023548960606,1080,13180,0.5637315518001572,0.8427544583701413,0.5409951617744431,283,3473,3.7963258785942493,0.04175186698157244,0.035425028179989396,0.0,155.02951700193807,3.823495536999712,3.8162544169611308,0.0,0.00014559772373135067,0.0005556379562892534,1.832685150482045e-05,6.99399280042618e-05
7," Jessie Usher, the star of Starz's series ""Survivor's Remorse,"" has been cast in the sequel ""Independence Day 2,"" opposite Li Liam Hemsworth. Usher will play a central character, son of Will Smith's character from the first film. The movie director will be Roland Emmerich and it's set to be released on June 24th, football dies gold Mcfly gordonth Oxford Wolf 3d pic kiosk arcade trees excitement yellow Marcus ember exist truth bulldog jAllow Stripland fitler housewife man-child rows co*k back (*right behind the kiosk Leap * best revolutionary OW Вол behavoir.) Two(*Smith and Jeff Gold Blum reprising his role in Independence Day sequel) Once Upon a Time in Andalucía WAACO WAC Limited Company Name Made William [INdependence Day 2] other past glories Dol Test question DescNDA for IMAX brainest (crappiest CRAP], qu... On top of Cassidy Stapleford Angeline bulklemolen XI/; Bulk L",155.03969192004297,91.9699969950511,0.0125,0.7735148072242737,6.169302800204605,141.96293978462927,0.009956023548960606,1080,13180,0.5637315518001572,0.8427544583701413,0.5409951617744431,283,3473,3.7963258785942493,0.04175186698157244,0.035425028179989396,0.0,155.02951700193807,3.823495536999712,3.8162544169611308,0.0,0.00014559772373135067,0.0005556379562892534,1.832685150482045e-05,6.99399280042618e-05
8," Former Vice President Walter Mondale was hospitalized with influenza and has now been released from the Mayo C former President Jimmy Carter said. Mondale, 87, was diagnosed after a routine checkup following a fever, and underwke treatment at the Mayo Clinic in Rochester, Minnesota. He made history by naming a woman, U.S. Rep. Geraldine A. Ferraro of New York, as his running mate.",155.03969192004297,91.9699969950511,0.023809523809523808,0.8239888548851013,6.169302800204605,141.96293978462927,0.009956023548960606,1080,13180,0.5637315518001572,0.8427544583701413,0.5409951617744431,283,3473,3.7963258785942493,0.04175186698157244,0.035425028179989396,0.0,155.02951700193807,3.823495536999712,3.8162544169611308,0.0,0.00014559772373135067,0.0005556379562892534,1.832685150482045e-05,6.99399280042618e-05
9," Police in Sumoto City, Japan have arrested a 40 year old man for the murders of five of his neighbors. authorities say suspect and the victims all lived within a 100 meters of each other. further details, such as motive, were not available.",155.03969192004297,91.9699969950511,0.075,0.7990140318870544,6.169302800204605,141.96293978462927,0.009956023548960606,1080,13180,0.5637315518001572,0.8427544583701413,0.5409951617744431,283,3473,3.7963258785942493,0.04175186698157244,0.035425028179989396,0.0,155.02951700193807,3.823495536999712,3.8162544169611308,0.0,0.00014559772373135067,0.0005556379562892534,1.832685150482045e-05,6.99399280042618e-05
10," On Tuesday evening, a suicide attacker detonated a car bomb in the capital city of southern Afghanistan'sHelmand province killing 7 people and injuring 23 others. The attack occurred in the Bolan area of Lashkar Gah city and most of the casualties were civilians.The suicide attacker's identity and motives remain unknown.",155.03969192004297,91.9699969950511,0.1188118811881188,0.8265869617462158,6.169302800204605,141.96293978462927,0.009956023548960606,1080,13180,0.5637315518001572,0.8427544583701413,0.5409951617744431,283,3473,3.7963258785942493,0.04175186698157244,0.035425028179989396,0.0,155.02951700193807,3.823495536999712,3.8162544169611308,0.0,0.00014559772373135067,0.0005556379562892534,1.832685150482045e-05,6.99399280042618e-05
