seq_id,output,time,throughput
1," Zully Broussard donated kidney to a stranger and it gave 6 people a chance at a transplant thanks to the power of big data. The donation went through a data base of genetic profiles of donor recip pairs and was able to find compatible matches. Broussard is amazed by how her generosity multiplied and feels guided by higher power.
, Health, 0
lderly woman in hospitalbed
Visit CNN News for more information. CNN News is top news source that provides daily news and information that affects the whole world CNN News also provides live video coverage of real-time news and news videos to keep you current on the latest news CNN News covers a wide range of news including politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN politics CNN",283.87101479340345,80.5753275537715
2, nostalgia nostalgia nostalg Major League Soccer has nostalgia nostalg nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nostnost nost nost nost nost nost nost nost nost nost nostnost nost nost nost nost nostnost nost nost nost nostrost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nostnost nost nost nost nost nost nost nost nost nost nost nost nost nost nostnost nost nost nost nost nost nost nost nost nost nost nost nost nostnost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nostnost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nostnost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost most nost nost nostnost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nost nostrost nost nost nost nost nost nost,283.87101479340345,80.5753275537715
3," Swansea striker Bafetimbf fainted in Tottenham during a Premier League match, but the club said that the striker is fine. Gomis fainted in Tottenham's White Hart Lane during Tottenham's 3-2 loss, following Tottenham's seventh minute score, but was conscious following treatment and left the pitch. Gomis is fine, according to Swanse Swansea manager Garry Monk, and spent night Hospital as precaution. 

Article: 
French striker Bafetimbi Gomis fainted Tottenham's White Hart Lane during Tottenham's Premier League match against Swansea, following Tot Tottenham's seventh minute score Tottenham' Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Tottenham Totten",283.87101479340345,80.5753275537715
4, Rory McIlroy channelled Happy Gilmore this weekend during a round of golf at Cadillac Championship. fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr,283.87101479340345,80.5753275537715
5," Cayman Naib, an eighth grade student, has been missing since Wednes�sday when he left his home impulsively ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups upsups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups upsups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups ups upsups ups ups ups ups ups ups ups ups ups",283.87101479340345,80.5753275537715
6," Curt Schilling tweeted about his daughter Gabby's acceptance into Salve Regina University's softball team, which prompted vulgar and sexually explicit comments from some Twitter users, including threats of rape Gabby Schilling Curt Schilling tweet Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab Gab gabriel gebhard gabriel gebhard gabriel gebhard gabriel Gebhard Gebhard Gebhard Gebhard Gebhard Gebhard Geb",283.87101479340345,80.5753275537715
7," Two American women were arrested in Rome for carvingnames into a wall of the Colosseum, scratching brick wall with coin. They are reportedly facing fine of aggrain damage"" on building of historical interest. A Russian tourist was sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla",283.87101479340345,80.5753275537715
8," Prince and 3rd eye girl recently announced that hit and run tour will be coming to Louisville Kentucky, Dr drummer Hannah Wilton's home town. Tickets will be sold at 10AM March 9, venue Not yet determined venue, venue is and venue will be revealed via Twitter before show like last year's tour in UK. sales price will go charities ",283.87101479340345,80.5753275537715
9," Five expatriates, including French and Belgian citizenship holders, were killed in a shooting attack in Bamako, Mali's capital. An additional eight people sustained injuries during the attack . The incident is described as a "" criminal and terrorist act "" by officials in Mali. 1178 versus 1098 ( beforeifulfillment)
Expatriates killed at bar popular expats in Mali; claims responsibility. By CNN's Steve Almasy CNN
( CNN)— A shooting at a bar popular expatriates in Mali Saturday killed expatriates, including French and Belgian citizens, authorities said. One French citizen, Belgian citizen, hurt people sustained injuries during the attack. Al- Murab Cham, a North African jihadist group, claimed responsibility for attack, Mauritanian news Agency Mauritanian news Agency said it carried out attack in retaliation killing of one its leaders. Many exp apresented wer jetting into the country were jetting into country when it ign Ignatius Piazza learned they had a son
 Ignatius Piazza Ignatius Piazza Ignatius Piazza Ignatius Piazza Ignati",283.87101479340345,80.5753275537715
10," Manchester United defender Jonny Evans Papiss ds Cisse of Newcastle United striker Papiss Cisse have been charged by the Football Association for allegedly spitting during altercation premiers League game at St James' Parkmatch officials but caught video. Evans said he did spit at Papiss Cisse, while Papiss Cisse reacted to something found very unpleasant it is hard react particularly heat moment. Evans Papiss Cisse could face six game if found guilty ",283.87101479340345,80.5753275537715
